name,stars
rails/rails,41732
jekyll/jekyll,36389
discourse/discourse,27032
fastlane/fastlane,24126
bayandin/awesome-awesomeness,23090
huginn/huginn,20197
freeCodeCamp/devdocs,19452
plataformatec/devise,19436
hashicorp/vagrant,17744
tootsuite/mastodon,16270
Homebrew/brew,15510
ruby/ruby,15187
rapid7/metasploit-framework,14566
kilimchoi/engineering-blogs,14541
Homebrew/homebrew-cask,14414
diaspora/diaspora,12116
CocoaPods/CocoaPods,11159
sinatra/sinatra,10336
elastic/logstash,9728
gollum/gollum,9654
rubocop-hq/rubocop,9633
spree/spree,9566
mperham/sidekiq,9248
thoughtbot/paperclip,9024
jordansissel/fpm,8855
ruby-grape/grape,8680
teamcapybara/capybara,8634
tmuxinator/tmuxinator,8470
resque/resque,8396
activeadmin/activeadmin,8269
carrierwaveuploader/carrierwave,8217
thepracticaldev/dev.to,7820
stympy/faker,7273
plataformatec/simple_form,7240
fluent/fluentd,7192
sferik/rails_admin,6974
Shopify/liquid,6772
omniauth/omniauth,6755
middleman/middleman,6383
github/linguist,6331
varvet/pundit,6316
thoughtbot/factory_bot,6234
skwp/dotfiles,6115
realm/jazzy,5658
chef/chef,5619
puma/puma,5539
pry/pry,5423
paper-trail-gem/paper_trail,5330
alexreisner/geocoder,5325
puppetlabs/puppet,5169
square/maximum-awesome,5133
presidentbeef/brakeman,5119
cucumber/cucumber-ruby,5004
ankane/chartkick,4998
bkeepers/dotenv,4960
Homebrew/homebrew-core,4919
ddollar/foreman,4907
hanami/hanami,4773
jnunemaker/httparty,4731
sferik/t,4728
rails-api/active_model_serializers,4724
thibmaek/awesome-raspberry-pi,4674
ankane/searchkick,4616
dylanbeattie/rockstar,4606
DeathKing/Learning-SICP,4522
drapergem/draper,4520
github/markup,4458
BBC-News/wraith,4415
ruby-concurrency/concurrent-ruby,4398
mbleigh/acts-as-taggable-on,4392
collectiveidea/delayed_job,4390
bundler/bundler,4372
JuanitoFatas/fast-ruby,4348
samaaron/sonic-pi,4323
ankane/pghero,4282
lostisland/faraday,4277
vcr/vcr,4231
erikhuda/thor,4230
thoughtbot/administrate,4217
doorkeeper-gem/doorkeeper,4192
shakacode/react_on_rails,4161
sferik/twitter,4133
binarylogic/authlogic,4101
activerecord-hackery/ransack,4101
kickstarter/rack-attack,4044
errbit/errbit,3946
activemerchant/active_merchant,3920
opal/opal,3912
rspec/rspec-rails,3876
jeremyevans/sequel,3817
eventmachine/eventmachine,3806
sparklemotion/mechanize,3803
celluloid/celluloid,3794
rails/webpacker,3769
prawnpdf/prawn,3721
trogdoro/xiki,3683
mongodb/mongoid,3681
Netflix/fast_jsonapi,3654
refinery/refinerycms,3622
colszowka/simplecov,3555
aasm/aasm,3541
rack/rack,3523
octobox/octobox,3430
rmosolgo/graphql-ruby,3395
haml/haml,3374
svenfuchs/rails-i18n,3349
redis/redis-rb,3286
thoughtbot/suspenders,3282
jruby/jruby,3236
